Word	[ (Document1, Count1), ... ]
as	(5, 7) (9, 4) (2, 3) (3, 2) (4, 3) (7, 4) (1, 4) (8, 7) (6, 2) (10, 3) 
assists	(1, 1) (8, 1) 
association	(2, 1) (4, 1) (1, 1) 
assumed	(1, 1) (8, 1) 
at	(8, 4) (1, 6) (7, 4) (2, 2) (3, 2) (4, 2) (6, 1) (10, 1) 
athlete	(8, 3) (1, 2) 
athletes	(1, 1) (5, 1) 
attitudes	(3, 1) 
august	(8, 3) 
augusto	(3, 1) 
aveiro	(1, 1) 
award	(1, 1) (8, 3) (7, 1) 
awarded	(8, 2) 
awards	(8, 1) (1, 1) 
back	(3, 1) (10, 1) 
back-to-back	(1, 1) 
badilla	(3, 2) 
baile	(3, 1) 
ball	(8, 4) (2, 1) (7, 2) (5, 12) (4, 1) 
ballon	(1, 2) (8, 7) 
ballons	(8, 1) (1, 1) 
balls	(5, 1) 
ballsntoriyamas	(5, 1) 
balmaceda	(9, 1) 
band	(3, 10) 
bands	(3, 1) 
banned	(3, 1) (7, 1) 
barcelona	(7, 2) (8, 5) (2, 1) (4, 1) 
barcelonas	(8, 1) 
barral	(10, 1) 
based	(5, 1) (6, 1) 
battles	(5, 1) 
be	(7, 2) (9, 1) (3, 1) 
became	(7, 2) (8, 2) (1, 1) 
because	(3, 1) 
become	(5, 2) 
becomes	(5, 1) 
becoming	(4, 2) (2, 2) (8, 2) 
been	(6, 1) (9, 1) 
before	(1, 2) (7, 2) (8, 1) 
began	(1, 1) (4, 1) (10, 1) (3, 1) (2, 1) 
beginning	(3, 1) 
beginnings	(3, 1) 
behind	(3, 1) (1, 1) (8, 1) 
belarusian	(7, 1) 
best	(7, 1) (1, 1) (3, 1) (4, 1) (8, 1) (2, 1) 
best-selling	(5, 1) 
better	(7, 1) 
between	(9, 1) (3, 1) (8, 1) 
biblical	(9, 1) 
billion	(8, 1) (1, 1) 
bitterly	(3, 1) 
boca	(7, 1) 
bolivia	(3, 1) 
boosting	(5, 1) 
boot	(8, 1) (1, 2) 
born	(1, 1) (2, 1) (8, 1) (4, 1) 
both	(4, 1) (5, 1) (7, 2) (10, 1) (9, 1) (8, 1) (2, 1) 
boy	(7, 1) 
boys	(7, 1) 
brest	(7, 2) 
broadcast	(5, 2) (10, 3) 
bu014dru	(5, 1) 
bulma	(5, 1) 
but	(3, 1) (9, 1) 
by	(9, 5) (5, 7) (2, 1) (1, 5) (4, 1) (10, 5) (7, 3) (3, 5) (8, 3) (6, 1) 
campaign	(8, 1) 
can	(9, 1) 
canada	(3, 1) 
cancelled	(10, 1) 
canciu00f3n	(3, 1) 
capital	(9, 2) 
capped	(2, 1) (4, 1) 
caps	(4, 1) (2, 1) (1, 1) (7, 1) 
captain	(8, 1) 
captaincy	(8, 1) (1, 1) 
captained	(7, 1) (2, 1) (4, 1) 
captains	(1, 1) (8, 1) 
caracas	(3, 1) 
card	(5, 1) 
career	(4, 1) (2, 1) (7, 3) (8, 4) (1, 6) 
cassette	(3, 2) 
cast	(3, 1) 
catu00f3lica	(6, 1) 
cecilia	(3, 1) 
celebrities	(5, 1) 
centenario	(2, 1) (4, 1) 
center	(9, 2) 
central	(9, 1) (8, 1) 
centre	(7, 1) 
century	(7, 2) 
centurys	(6, 1) 
