Word	[ (Document1, Count1), ... ]
position	(7, 1) 
possessed	(7, 1) 
prado	(3, 2) 
praised	(5, 1) 
pre-emptions	(10, 1) 
precocious	(7, 1) 
premier	(1, 2) 
premiered	(10, 1) 
prerecorded	(10, 1) 
presence	(7, 1) 
presented	(7, 1) 
primera	(7, 1) (6, 2) 
prisioneros	(3, 6) 
prisoneros	(3, 1) 
prisoners	(3, 2) 
pro-league	(7, 1) 
problem	(9, 1) 
producciones	(3, 1) 
produced	(10, 1) (5, 1) 
professional	(7, 1) (6, 1) (1, 2) (8, 2) (2, 1) (4, 1) 
program	(10, 3) 
programming	(10, 1) 
prolific	(8, 1) 
pronunciation	(8, 1) (4, 1) (1, 1) (6, 1) (2, 1) 
protagonist	(5, 1) 
protest	(3, 1) 
pru00e1danos	(3, 1) 
publisher	(5, 1) 
punk	(3, 1) 
qualification	(8, 1) 
quarter	(7, 1) 
que	(3, 1) 
quest	(5, 1) 
rain	(9, 1) 
raised	(8, 1) 
ranked	(8, 1) (1, 1) (6, 1) 
raras	(3, 1) 
rare	(10, 1) 
re-releasing	(3, 1) 
reach	(1, 1) 
reached	(8, 1) (3, 1) 
real	(1, 1) 
reasons	(7, 1) 
receive	(8, 1) 
received	(1, 2) 
receiving	(1, 1) 
recopa	(6, 1) 
record	(6, 1) (8, 6) (3, 2) (2, 1) (4, 1) (7, 1) 
recorded	(3, 3) 
records	(3, 2) (1, 1) (8, 2) 
recut	(5, 1) 
referenced	(5, 1) 
regaining	(8, 1) 
regarded	(8, 1) (1, 1) (7, 1) (6, 1) (5, 1) 
reggae	(3, 1) 
region	(9, 2) 
regional	(9, 1) 
release	(3, 1) (5, 1) 
released	(3, 1) 
relegated	(6, 1) 
relevant	(3, 1) 
relocated	(8, 1) 
removing	(5, 1) 
repeat	(2, 1) (4, 1) 
replaced	(10, 3) 
reruns	(10, 1) 
resulting	(3, 2) 
retirement	(8, 1) 
returning	(1, 1) 
reunion	(3, 1) 
reuniting	(3, 1) 
reversed	(8, 1) 
reviewers	(5, 1) 
revised	(5, 1) 
rey	(8, 1) (1, 1) (4, 1) (2, 1) 
rival	(8, 1) (1, 1) 
rivalry	(6, 2) 
rivals	(2, 1) (4, 1) 
river	(4, 1) (9, 1) (2, 1) 
robert	(3, 1) 
rock	(3, 6) 
rock/pop	(3, 1) 
rockabilly	(3, 1) 
rockers	(3, 1) 
rodriguez	(3, 1) 
rolando	(10, 1) 
role	(10, 1) 
rolling	(3, 2) 
romero	(10, 1) 
ronaldo	(8, 1) (1, 7) 
roots	(3, 1) 
row	(8, 1) 
run	(10, 1) 
runner-up	(1, 1) 
sabadazo	(10, 3) 
saint	(9, 1) 
saint-germain	(8, 2) 
sal	(10, 1) 
same	(6, 1) 
san	(3, 1) 
santiago	(3, 1) (6, 1) (9, 7) 
santiagos	(9, 1) 
santos	(1, 1) 
saturday	(10, 5) 
school	(3, 2) 
score	(8, 1) 
scored	(8, 2) (1, 3) (7, 2) 
scorer	(1, 2) (8, 2) (6, 1) 
scoring	(4, 1) (2, 1) 
sea	(9, 1) 
search	(5, 1) 
season	(1, 1) (7, 2) (8, 5) (10, 1) 
seasons	(8, 2) 
second	(8, 4) (3, 1) (7, 1) 
second-highest	(1, 1) 
see	(8, 1) 
seek	(5, 1) 
seen	(9, 1) 
segu00fan	(3, 1) 
senior	(8, 2) (4, 2) (2, 2) (1, 2) 
september	(7, 2) (10, 2) 
sequel	(5, 1) 
sergio	(3, 1) 
serialized	(5, 1) 
serie	(1, 1) (4, 1) (2, 1) 
series	(10, 1) (5, 7) 
serving	(10, 1) 
set	(8, 1) (7, 1) 
seven	(5, 1) (1, 1) (8, 2) 
seventh	(8, 1) 
several	(5, 3) (3, 2) (9, 1) 
sevilla	(7, 1) 
shaped	(9, 1) 
shared	(3, 1) 
shoe	(8, 1) 
shoes	(8, 1) (1, 1) 
show	(10, 1) 
shows	(10, 3) 
shu014dnen	(5, 1) 
shueisha	(5, 1) 
side-streets	(9, 1) 
siempre	(10, 1) 
sign	(3, 1) 
signed	(1, 2) (2, 3) (4, 3) (8, 1) 
signing	(1, 1) 
silver	(1, 1) 
simple	(3, 1) 
since	(1, 1) (10, 1) (9, 1) (8, 1) (6, 1) (4, 1) (2, 1) 
single	(8, 2) 
singled	(7, 1) 
six	(8, 2) (2, 1) (4, 1) 
sixth	(8, 1) 
skills	(7, 1) 
slot	(10, 1) 
small	(7, 1) 
smog	(9, 1) 
sobrannthe	(3, 1) 
social	(6, 1) 
societal	(3, 1) 
socio-economic	(3, 1) 
socio-political	(3, 1) 
sold	(5, 3) 
son	(5, 1) 
song	(3, 1) 
songs	(3, 4) 
sound	(3, 1) 
soundtracks	(5, 1) 
source	(5, 1) 
south	(7, 1) (8, 1) (6, 1) 
spain	(8, 1) 
spanish	(8, 2) (7, 1) (9, 2) (4, 1) (10, 1) (6, 1) (3, 1) (2, 1) 
spanish-language	(10, 1) 
special	(10, 1) 
specialist	(7, 1) 
specials	(5, 1) 
spends	(5, 1) 
spent	(8, 1) 
sport	(8, 1) (7, 1) 
sporting	(1, 1) 
sportsman	(1, 1) (8, 1) 
sportswear	(8, 1) 
spread	(3, 1) 
squads	(8, 1) 
stage	(10, 1) 
stand-alone	(9, 1) 
star	(10, 1) 
start	(10, 1) (7, 1) 
starting	(3, 1) 
states	(3, 1) (10, 1) 
stature	(7, 1) 
stone	(3, 1) 
stones	(3, 1) 
stories	(10, 1) 
story	(5, 2) 
strange	(3, 1) 
strongest	(3, 2) 
structures	(3, 1) 
struggled	(3, 1) 
stuck	(7, 1) 
studio	(5, 1) 
style	(8, 1) 
styles	(9, 1) 
su	(3, 1) 
su00e1bado	(10, 7) 
su00e1nchez	(4, 5) (2, 5) 
subject	(2, 1) (1, 1) (4, 1) 
success	(3, 1) 
successful	(5, 1) (8, 1) (6, 2) 
successor	(8, 1) 
such	(9, 1) 
sudamerican	(3, 1) 
sudamericana	(6, 1) 
summer	(8, 1) 
summon	(5, 1) 
super	(5, 1) 
supercoppa	(1, 1) 
supporters	(6, 1) 
sur	(3, 1) 
surpass	(8, 1) 
surrounded	(9, 1) 
sus	(3, 1) 
swap	(2, 1) (4, 1) 
synthpopmusically	(3, 1) 
taken	(10, 1) 
talent	(7, 1) 
tanku014dbon	(5, 2) 
tapia	(3, 2) 
team	(2, 3) (1, 2) (4, 3) (8, 3) (7, 2) (6, 5) 
team-sport	(8, 1) 
teams	(7, 1) 
teen	(5, 1) 
telethon	(10, 1) 
teletu00f3n	(10, 1) 
televisa	(10, 1) 
television	(10, 3) (5, 1) 
ten	(8, 1) 
than	(7, 1) (9, 1) (1, 1) (5, 1) (6, 1) 
that	(6, 2) (8, 2) (3, 3) (7, 2) (5, 2) (10, 3) 
the	(10, 11) (3, 25) (6, 16) (9, 26) (4, 15) (8, 51) (2, 15) (5, 30) (1, 36) (7, 35) 
their	(3, 12) (4, 1) (1, 2) (2, 1) (5, 1) 
them	(3, 1) (7, 1) (1, 1) 
themselves	(3, 2) 
then	(3, 2) (10, 1) (7, 1) (4, 1) (2, 1) 
then-most	(1, 1) 
there	(2, 1) (4, 1) 
these	(9, 1) 
they	(3, 9) (6, 2) 
theyre	(3, 1) 
third	(3, 1) (1, 1) 
third-place	(8, 1) 
thirteen	(6, 1) 
this	(8, 1) (3, 1) (4, 1) (2, 1) 
three	(3, 1) (8, 3) (1, 2) (5, 1) 
three-hour	(10, 1) 
through	(3, 2) (5, 1) 
throughout	(10, 1) (7, 1) 
thus	(8, 1) 
time	(8, 1) (7, 1) (2, 1) (5, 1) (1, 3) (10, 2) (4, 1) 
timedubbed	(4, 1) (2, 1) 
timensince	(5, 1) 
times	(8, 2) (9, 1) (1, 1) 
title	(1, 1) (5, 1) (2, 2) (4, 2) 
titled	(5, 1) (10, 1) (3, 3) 
titles	(4, 1) (1, 4) (8, 2) (6, 3) (2, 1) 
to	(2, 4) (6, 2) (1, 7) (3, 12) (4, 4) (8, 11) (7, 9) (10, 3) (9, 3) (5, 6) 
tocatas	(3, 1) 
toei	(5, 1) 
together	(5, 1) (3, 1) 
top	(1, 4) (2, 1) (6, 3) (8, 2) (4, 1) 
toriyama	(5, 2) 
total	(3, 1) (9, 1) 
tour	(3, 1) 
tournament	(4, 1) (1, 2) (8, 2) (6, 1) (2, 1) (7, 1) 
tournaments	(7, 1) (4, 1) (1, 1) (2, 1) 
trading	(5, 1) 
traditional	(6, 1) 
trains	(5, 1) 
transfer	(2, 3) (4, 3) (7, 1) (1, 4) 
transferred	(7, 1) 
translation	(10, 2) 
treble	(8, 2) 
tren	(3, 1) 
tres	(3, 1) 
triumph	(4, 1) (2, 1) 
trophies	(2, 1) (4, 1) (8, 1) (1, 3) 
troubled	(7, 1) 
tv	(10, 1) 
twenty	(6, 1) 
twice	(7, 1) 
two	(7, 2) (6, 1) (4, 1) (5, 2) (2, 1) (3, 1) (1, 4) (8, 1) 
types	(5, 1) 
u00a3317	(2, 1) (4, 1) 
u00a35	(7, 1) 
u00a369	(7, 1) 
u00a380	(1, 1) 
u00a388	(1, 1) 
u00c1lvaro	(3, 1) 
u0281u0254u02c8nau026bdu]	(1, 1) 
u02c8kolo]	(6, 1) 
u02c8mesi]	(8, 1) 
u02c8santu0283es]	(4, 1) (2, 1) 
u2013	(7, 1) 
u20ac100	(1, 1) 
u20ac35	(4, 1) (2, 1) 
u20ac375	(2, 1) (4, 1) 
u20ac94	(1, 1) 
u30c9u30e9u30b4u30f3u30dcu30fcu30eb	(5, 1) 
uae	(7, 1) 
udinese	(4, 1) (2, 1) 
uefa	(8, 2) (1, 3) 
under	(10, 2) (5, 1) (3, 1) 
uninterrupted	(8, 1) 
united	(3, 1) (10, 1) (1, 3) (2, 1) (4, 1) 
universidad	(6, 2) 
univision	(10, 5) 
univisions	(10, 1) 
unpenalized	(7, 1) 
until	(7, 1) (8, 1) (3, 1) (5, 1) 
urban	(9, 1) 
us	(9, 1) (10, 1) (1, 1) 
usa	(10, 1) 
used	(3, 1) 
valdivia	(9, 1) 
valley	(9, 1) 
valparau00edso	(9, 1) 
variety	(10, 1) (5, 1) 
various	(5, 1) (10, 1) 
venezuela	(3, 1) 
version	(5, 1) 
victory	(1, 1) (7, 2) (4, 1) (2, 1) 
video	(5, 1) 
villains	(5, 1) 
vineyards	(9, 1) 
violeta	(3, 1) 
vision	(7, 1) 
vocalist	(3, 1) 
volumes	(5, 2) 
voted	(7, 1) (2, 1) (4, 1) 
voters	(7, 1) 
voz	(3, 1) 
vu00edctor	(3, 1) 
was	(4, 2) (10, 9) (8, 7) (6, 1) (5, 3) (1, 4) (7, 12) (2, 2) 
wasl	(7, 1) 
we	(3, 1) 
week	(10, 1) 
weekly	(5, 1) 
well	(5, 1) (3, 1) (9, 1) 
went	(6, 1) (3, 1) 
were	(3, 4) (10, 1) (7, 1) (5, 1) (6, 1) 
west	(7, 1) (5, 1) 
western	(5, 1) 
when	(5, 1) (3, 2) (4, 1) (7, 2) (1, 1) (2, 1) 
where	(8, 2) (1, 2) (7, 2) 
which	(7, 1) (5, 2) (9, 2) (6, 1) (3, 1) (10, 2) (8, 2) 
while	(8, 2) (2, 1) (7, 2) (4, 1) 
who	(4, 1) (2, 1) (8, 2) (5, 1) (7, 1) (1, 1) 
whom	(8, 1) (5, 1) 
whose	(9, 1) 
wide	(5, 1) 
widely	(5, 1) (1, 1) (8, 1) (7, 1) 
will	(9, 1) 
win	(6, 2) (8, 2) (1, 1) 
winding	(9, 1) 
winners	(7, 1) 
winning	(2, 3) (4, 3) (1, 1) (8, 3) 
winter	(9, 1) 
wish-granting	(5, 1) 
with	(5, 5) (4, 1) (7, 3) (3, 6) (8, 4) (2, 1) (1, 3) (10, 4) (6, 6) 
within	(6, 1) (8, 1) (9, 1) 
won	(8, 7) (6, 1) (4, 4) (7, 2) (2, 4) (1, 6) 
wonder	(4, 1) (2, 1) 
word	(3, 1) 
works	(5, 1) 
world	(5, 3) (8, 6) (1, 2) (10, 1) (7, 5) 
worlds	(8, 2) (1, 3) 
worldwide	(5, 1) 
worth	(1, 2) (2, 2) (4, 2) 
would	(1, 1) (7, 1) (8, 1) (10, 1) 
writers	(5, 1) 
written	(5, 1) 
y	(10, 1) (3, 1) (6, 1) 
yd	(7, 1) 
year	(4, 3) (1, 1) (6, 1) (8, 3) (2, 3) 
years	(1, 1) (10, 1) (8, 2) 
young	(8, 1) (3, 1) 
youngest	(8, 1) 
youth	(8, 2) 
yu00e1u00f1ez	(3, 1) 
z	(5, 3) 
